image,target_hash,target_title,target_topic,num_choices,choice_0,choice_1,choice_2,choice_3,choice_4,task
e43e04eb709826efde893685dd443b09_0000.png,e43e04eb709826efde893685dd443b09,Modular Representation Underlies Systematic Generalization in Neural Natural Language Inference Models,2,5,Thompson's $V$ in MCG of mixing SFT by PW-linear homeos,INC: A Scalable Incremental Weighted Sampler,Product of Tensors and Description of Networks,FMM-LU: A Fast Direct Solver for Multiscale Boundary Integral Equations in Three Dimensions,Modular Representation Underlies Systematic Generalization in Neural Natural Language Inference Models,guess-image-title
93877ad696aa1fa88865e318136f8a5d_0001.png,93877ad696aa1fa88865e318136f8a5d,Epic Fail: Emulators can tolerate polynomially many edge faults for free,11,5,Entanglement-Based Artificial Topology: Neighboring Remote Network Nodes,What Meaning-Form Correlation Has to Compose With,"Bi-traceable graphs, the intersection of three longest paths and Hippchen's conjecture",2-switch: transition and stability on graphs and forests,Epic Fail: Emulators can tolerate polynomially many edge faults for free,guess-image-title
be0937183f605bbf1165c9d847944cde_0002.png,be0937183f605bbf1165c9d847944cde,Generic Stability Independence and Treeless Theories,7,5,The edge code of hypergraphs,Primitive equations with horizontal viscosity: The initial value and The time-periodic problem for physical boundary conditions,Risk-Aware Active Inverse Reinforcement Learning,Colored Line Ensembles for Stochastic Vertex Models,Generic Stability Independence and Treeless Theories,guess-image-title
864509c88ba31ea0b05b88d3120065fc_0003.png,864509c88ba31ea0b05b88d3120065fc,Minimal graph in which the intersection of two longest paths is not a separator,0,5,Nearest neighbor synthesis of CNOT circuits on general quantum architectures,Consistent and Asymptotically Unbiased Estimation of Proper Calibration Errors,"Towards a Parameterized Approximation Dichotomy of MinCSP for Linear
  Equations over Finite Commutative Rings",On Practical Nearest Sub-Trajectory Queries under the Fréchet Distance,Minimal graph in which the intersection of two longest paths is not a separator,guess-image-title
b6cd389d0693ed0d872b62e9304be72f_0004.png,b6cd389d0693ed0d872b62e9304be72f,Orienting supersingular isogeny graphs,0,5,"Authentication schemes for Smart Mobile Devices: Threat Models, Countermeasures, and Open Research Issues",A Primal-dual algorithm for image reconstruction with ICNNs,"Simultaneous Dimensionality Reduction for Extracting Useful
  Representations of Large Empirical Multimodal Datasets",h-Index manipulation by undoing merges,Orienting supersingular isogeny graphs,guess-image-title
0add74e83e00965c11f17895b129591d_0005.png,0add74e83e00965c11f17895b129591d,"Assume, Guarantee or Repair -- A Regular Framework for Non Regular Properties (full version)",26,5,Adversarial Specification Mining,Context Matters in Semantically Controlled Language Generation for Task-oriented Dialogue Systems,A review of matrix scaling and Sinkhorn's normal form for matrices and positive maps,On the Algebraic Structure of Linear Trellises,"Assume, Guarantee or Repair -- A Regular Framework for Non Regular Properties (full version)",guess-image-title
577cd1fd26174988664e39ab1e84ce68_0006.png,577cd1fd26174988664e39ab1e84ce68,Hardness Transitions of Star Colouring and Restricted Star Colouring,14,5,Decorating the gauge/YBE correspondence,Topological inductive constructions for tight surface graphs,Adaptive Bayesian Reticulum,Near-optimal Lower Bounds on Quantifier Depth and Weisfeiler–Leman Refinement Steps,Hardness Transitions of Star Colouring and Restricted Star Colouring,guess-image-title
a494fe8697cc753f2c0abf5eacf7f088_0007.png,a494fe8697cc753f2c0abf5eacf7f088,Nonintrusive approximation of parametrized limits of matrix power algorithms – application to matrix inverses and log-determinants,22,5,Graphs related to $2$-dimensional simplex codes,Notes on Lynch-Morawska Systems,Causal models on probability spaces,Rewriting Structured Cospans: A Syntax For Open Systems,Nonintrusive approximation of parametrized limits of matrix power algorithms – application to matrix inverses and log-determinants,guess-image-title
a5da8cf184e962f6c9adc5becb3c0e07_0008.png,a5da8cf184e962f6c9adc5becb3c0e07,Functional graphs of generalized cyclotomic mappings of finite fields,0,5,The Regularization of Small Sub-Constraint Satisfaction Problems,Group Actions on Winning Games of Super Tic-Tac-Toe,Relating Complexity-theoretic Parameters with SAT Solver Performance,SWAT: A System-Wide Approach to Tunable Leakage Mitigation in Encrypted Data Stores,Functional graphs of generalized cyclotomic mappings of finite fields,guess-image-title
3fdc736ce213b67eefb9ea8832bb4de7_0009.png,3fdc736ce213b67eefb9ea8832bb4de7,Tackling Non-Stationarity in Reinforcement Learning via Causal-Origin Representation,4,5,Network dynamics with higher-order interactions: coupled cell hypernetworks for identical cells and synchrony,Renting Edge Computing Resources for Service Hosting,Quiddity sequences for $\mathrm{SL}_3$-frieze patterns,Fixpoint operators for 2-categorical structures,Tackling Non-Stationarity in Reinforcement Learning via Causal-Origin Representation,guess-image-title
