hash0,task
cb16c1c8f7f2ab0509eaef3614a9e681,junk-2
ad4302478b3f5b5042ebd4b89f73a838,junk-2
c38f43b258ed111a754b031278a3547e,junk-2
50991cea846b4d8bd372b31c2a77b335,junk-2
47cbfb2a13e86a0df48fce34d3faf318,junk-2
c9b1afd0a5d013bea592303d7b1813ff,junk-2
cca485e5534b657163fc771c01fe540c,junk-2
db9a6a416246dc0a2efd3e8468a563aa,junk-2
e2022716f23372c0ecc1cb4219f36ef2,junk-2
c8c5bada68576c9dea2f8803938c3e1a,junk-2
35c8df0db7b273be341b4f55cf1c7e34,junk-2
aef00e57466945b6b2e25ebf80c0d725,junk-2
acef2118f8b7401491778460b687b862,junk-2
97fe288cf0bb6922745190aae7338ecb,junk-2
aa1772e35254f3215e949df573f35161,junk-2
2587853fbff53cbf222d8eb0c6ba55bb,junk-2
46d4b9d1da3674e27070846f9fd5b02e,junk-2
0d0cd6b248a99b9ae689979a9e0ea5d2,junk-2
9046082813a51428c91333a743528c49,junk-2
4c38a928b6bb5a6d2c1f52dfcaf958f2,junk-2
060333b145e575bc9676f635fa113782,junk-2
46eb033dcfcca224703e61c2524a1e26,junk-2
9e145429803d047a513c50f8b1e91b5f,junk-2
5fc6461520dddac200ca838bed3419fc,junk-2
08e833bde9b876537f08f5db7eaba76e,junk-2
743645b0be0c2bed1be1b53cf480a4dd,junk-2
ec976f18e0856d600f314c4f24ac5e0a,junk-2
4dab4379ea266d7b6ebd8ec421cc60fc,junk-2
8a7b8a163d1848b416c7c6ca92dc1e7a,junk-2
0748c23e8c7c914fc6c78ff0952a8047,junk-2
8c9829dad072a77f84bfdc0f66616723,junk-2
7d3dfc4e15f63570c7f7b02e100ae5ac,junk-2
942a37ec37b951503a7ede85db2ff7d1,junk-2
2276cb08f89dea86bdf8c666496280e0,junk-2
d11af813325475330a77917da4375eb8,junk-2
253c9dfd50cdc1e2c8c1eec0b49b6283,junk-2
23aa933d207ac8257d14efb9037bd063,junk-2
a7c470c92b0f2e174eb151b4a74794d8,junk-2
ee57e09799c9b49fda52f6440d05c61f,junk-2
091235bdc3c5fe45869a61fe92e735d5,junk-2
4f6512cc6fd94193cd1cc99142ddc0ac,junk-2
3d798f5af6411c92c14bb824996ffaf5,junk-2
a980bf7c1caed3613e45473aaaeed583,junk-2
d5be0df850276dc496bd3ce1aab92354,junk-2
93f02ea06dc6d43a9a8feff9e1be5380,junk-2
bfc25e6803cc2d85fea8725effe954c2,junk-2
a715eb4bcd1dda81a0040ca4d2ea9a7e,junk-2
21761a77c1c6094f62c3fe788fdc10ec,junk-2
7d27dd570d26563ec6534042834c3ed4,junk-2
072aa50ebcbdd38438ccff5228c557b4,junk-2
79bcdc72cf7170b38f0fe300de33a929,junk-2
287dda1b5e533d4ecf0d27ca0f3fee3f,junk-2
a4dcdfba296fd916f72b5ce2addc219d,junk-2
0229b8232853724139ed7b6e432fbe2c,junk-2
5103fdc4b93a255047dafdd73e00372f,junk-2
05c112627e68a03c5daba81f527bbfbe,junk-2
f5664ed2ff3c5904a3676cd6a079cde4,junk-2
ffe5fd119ce90e2df6026fcfb44d7a6b,junk-2
4093efb39568c06f7ab3cfaa2cd1bbfe,junk-2
3162e3060d8eebba93bc4555d617e0d1,junk-2
be089fb8dece57d289d75da35c2c72b3,junk-2
bb78cfc3326b494cae4cc6d96ee43d0e,junk-2
992b745e51edf807acb99ecca6aebc87,junk-2
0bf6308ebc76e820cd69b1e4f7950387,junk-2
e68726e0b286ac214fd63a57344cd740,junk-2
84ba532c819cad1bf058158f6ea4d7a2,junk-2
93a4216ba131f32bae113fd1618fadb7,junk-2
28182cf902df607a82ff5c931bff3c96,junk-2
f22905d12d9bcdf9a377038b435e740a,junk-2
58ea15e518cb0c6bff69ca861c8e7818,junk-2
ea7a02ed09200a8c7f92c74a9077e234,junk-2
8bf8612f317c278397e7c8def8de588d,junk-2
d9a9657e063408429fe4759d0eedd1b3,junk-2
89315d9688395da0680f25c05f1f7624,junk-2
e951da47c5a85e4f2a1c9833bfceb75a,junk-2
7095bbd6897a47b8532a012932d222e4,junk-2
870728c54049fd574d207435fa9dc808,junk-2
c43af818d260d1a6d99c4d657740d720,junk-2
b4f698110ee190501ec0b6c97203fb5b,junk-2
3222c425af6204c27a01ef0fc3159d36,junk-2
943265cc39904a4f5487e6688329d006,junk-2
9becf5bf0c917ebffda36d95872bc4d2,junk-2
467d6d52840ba439892204828b2f77be,junk-2
9f248ba6d447aebc30b9acc50c6c51f9,junk-2
2b6876ba7de56594b80a99eb142bca48,junk-2
ee90a2748ad40899b7fc9e92fd333355,junk-2
b3436b231ebe07c9ad948909630de67e,junk-2
653677d942c129bd9587bc492972af3f,junk-2
cfb9c366faf4d51eadb6e596d1b4e5bb,junk-2
3b1e36b5cb58d21c53b5ded3fc0b4b44,junk-2
a66364e7e38b2ec0afcf9fc96733e112,junk-2
ca4904eacedf58c407304414903cded6,junk-2
1904609c2f4f29e23a9d2393c5a1e3bb,junk-2
14ca4738299cae75e2d63d80aaee772d,junk-2
8fbb0c0df923274724242de0380d876b,junk-2
32a84bf7aeacfad39478ea288a338e6b,junk-2
9db82546dbafbbba944118ba378bab3d,junk-2
4804ddf66f73e498af2005b5b0eae7c0,junk-2
ac412eef81ecf1e0f175f425a8b542b0,junk-2
10ca9125c25fd637496ccbc2f5548ce3,junk-2
5490e443aa7d1d8c946603722386dfe4,junk-2
ff3d189551530ad8bec13ce04c8ffa17,junk-2
41d4019eb5b726b96c68bc6fc349bcdb,junk-2
fb89ebce2552a573976c6bce61f07c6e,junk-2
3c60a40ce078f51a7557d823a7134e0e,junk-2
2463ff845bbc83d90d15ecbcdcc67fe5,junk-2
5a97ceae3314caef13f2dc5ce3af8596,junk-2
c135da59f5f784e1d4bca607d400db63,junk-2
95b25eb84aa4d5cb09c4e69a3717e5a0,junk-2
0c59aa7daba66c9a2ac71bb950369af7,junk-2
1653cbe48d15d87c43592484cf6306a7,junk-2
1ddb356fe41ab0441a85c8b6c008e054,junk-2
0035e08eea959acec519782cdf068148,junk-2
12422ecfc25ac6d60a6c1bdd7fea1ded,junk-2
6880682a78639dd9db657d86c17a5a24,junk-2
e7e1b2259c260768c6919c81ddac95da,junk-2
6346b6a1593e00fa2d525092fe8b807d,junk-2
25a858fbecb11156d15044704314100e,junk-2
ae47d3711a906f471e49b4dd5d81a264,junk-2
6d73cda124fd6107a0bfc3e10b8cf371,junk-2
b2ada9df327a38bc2c2d856ea98dea84,junk-2
66136ccf5d9c8fcd549ae8900635a136,junk-2
aaffcdde558b644310c25717fa02125e,junk-2
68846b6f70a3f2f1574434fdb3b8a9cd,junk-2
c6ce35f3d81047d3bed43ca1e688d476,junk-2
86b93bb29f1af38a66e2e9e2803749d3,junk-2
e84cc3f54a199e4106d9a3544526c284,junk-2
9be66c44af3302930733c8294468ff47,junk-2
77ad30e30758683ff618263a559abf4f,junk-2
6974557a3645c3abc4d0f690e09f9a46,junk-2
c839a0c0c526f39fb8ab6943752f9d65,junk-2
77aca50d34b7b06e55ba3ba5cca1ec88,junk-2
adb17598062b2fa6e69de037729ff6d4,junk-2
2662bc23ffc7a91aaffda9b822e08fad,junk-2
5dd50d59f503e30476a59aacf44bec8e,junk-2
6b37f3509fc0427ffbf0f7dee88f4124,junk-2
2c17b982a1d1efee231b97362f04d370,junk-2
ed71821c5d48e8966e2923f50569532a,junk-2
c4a191088eecaab4db2ed55b4a876ef8,junk-2
da6bb174cfecb58a06c6e1739b43d525,junk-2
937be19651fdf75aaab3697d73000eb2,junk-2
95335501667606e6a7ef9ff92645214d,junk-2
16496b020ab39ef88bd840bfcfb2e407,junk-2
1b52c5034038b065d8e56499909d0e91,junk-2
13b3d9316a201a93276534e377a4ad4d,junk-2
4cc21a3d4278fa1d454066d145c803b8,junk-2
e5cc87e28702e1d43b4e97864a753a98,junk-2
2c34497d1ff77cdcac2a2a6511b710a5,junk-2
f391d3fbcd2d0ac70ab75be12246bd0b,junk-2
4afdbff2cc7282d3db620284cc62e18f,junk-2
a060be02f4415bb0cb2d7d887117c5b7,junk-2
7836a3005035c667dd586707237f73c4,junk-2
68efdd3c73f9228fc6f8a8a6d3a20efa,junk-2
dedef9a806c5c9dd4607bd1a6026af46,junk-2
ed01774bb7680cda74910501a7c1051f,junk-2
4f82897e291b630bd04725309652fa16,junk-2
6f89e844ad10381a50e29b05f4197ded,junk-2
69e20515d114235d0ae8cdbeb3c25aa3,junk-2
94ae3c2f780a7c81a4175e7efd3c1cdf,junk-2
ed92e677961077cec7a2632248e462e0,junk-2
396e2f1e3ee45aa5996aad009964c0af,junk-2
05a945d8f6ab5916d2ff0fc8a2160ed2,junk-2
dd65241ccfe8bb625129eb4ca8dd063c,junk-2
79230dcb1cd42b9794038dbf3c7a8311,junk-2
9ca26d83deabc2131a55350716da41b2,junk-2
1b70bd597dd25d621340204a489ed19b,junk-2
548d224afb3dba0979651ddbd1d2e664,junk-2
110d14b84071f39cd63292a06fa10820,junk-2
b513a0d0c23cc4e9e3949c0e0fb4bcf3,junk-2
f51f61a7fa9c58fdfe551e4b5d82f53c,junk-2
79e5daa1e565632d366a41c53fcca3a2,junk-2
e48821d0be5c139ac82c4595131dec25,junk-2
5841d94c6af0ae9011d5115e4d00ec9c,junk-2
e5b8aa73346894b6230b45403b5d5171,junk-2
0dc5bcaa4e9fa1f0e80331f3baf67d8f,junk-2
c0967c2f80d53cac219797a7a92bdc6c,junk-2
6639f56529956ce876367c052e0d8931,junk-2
aa2d64c0f3876c802fbf8a85d719a6d8,junk-2
9ad1e74c76eff9a32f042e3e377fc092,junk-2
1e0bf5b85beb789218dbc78d64196969,junk-2
0741497dd63e054f4a3858ac7fe5423b,junk-2
6c132f9b67e8e562cdd7546f3cd41151,junk-2
d4751980d3fb8d19b11bdbdfdb19eb00,junk-2
c9414c0f390fef28eb41f84c7dab886b,junk-2
43761f0f3acbc565b3c5360fe296e1ad,junk-2
221a1f87e82f176d3376390655dcd8e9,junk-2
1be2a49e1d12630210467c28402683b7,junk-2
533f0de8d4fc4b7ac48d7f93b1a7012b,junk-2
6a66cd4225b290b3373a710b540050ba,junk-2
01072432a184c5d49cb3e13256bbd9ea,junk-2
b332b3107a8758357e8ddeb9147d56cf,junk-2
8b9dd56d07ae98ba0f007e3604cd8cb8,junk-2
6a957feff29754ae2e9a8ae4aea8afdb,junk-2
53fc719452219fabfbc584f7aa300ff9,junk-2
84c1fbb3d4aba3087580876b87119560,junk-2
4031c4381f93a5ef043facd7b9383679,junk-2
3ade03e055350e838e772df95da70f95,junk-2
003a0cb3cad56e6f94bc605af64a2cdf,junk-2
ae47d3711a906f471e49b4dd5d81a264,junk-2
fa59de73db10054c7edb0242cc6ce2c7,junk-2
86e49cdccb99110f3c35d1b515b4fc5b,junk-2
528fcf50da2f5ec3bc56f4d30c5ed837,junk-2
e13fd3c05eee086e9c4e2e4208ed05ed,junk-2
2833a17fe4430bd667925ebb112b6d63,junk-2
a20f1a38cf669e7ba10f42583fe8363b,junk-2
64a37bd1f3b35d3d7a4cbe89e93927e7,junk-2
9c887c43c6fa36a28a65fc178657785b,junk-2
d8a89d8c0730e22e8a63b51b9ffd4254,junk-2
f66374a9c2ea0b4f8e353be7fa85d90f,junk-2
b0a382bd3b038c80c580db328c85546c,junk-2
e54ef3b84093f124e3833d34d77dcc3e,junk-2
2c2a30fe481413b9bb5193ab2087622b,junk-2
5305565da7864c3abd8ee2d9d305aa9b,junk-2
93f8f649f0c8747c764f64afacc32123,junk-2
5cba7ed654f922ad640c7a51bd6a7d24,junk-2
a43d41140a377b328408cdb4beef39b0,junk-2
