hash0,task
0385064e29e1905d78a914b0e6bb43c3,rating-1
c7199c85108f0642eafdf37365a7624e,rating-1
69165f8c845d5bedb6db08132ae963a9,rating-1
7badf75a38bf5684b999dff07dac7c2f,rating-1
a0e6dc5d38bdfa55c4aeb931c11be6c2,rating-1
588639cb69c7cf788eb9214184e7e9a9,rating-1
835187a2e489e42fdb14a6f81f3cf741,rating-1
0b70f603f4392b846ba37b790fb3a12a,rating-1
fc2470bba37d5650e8d985ab6ef19561,rating-1
5ba2d818c02ce0ac30db749393389cac,rating-1
099c180f5e12c072a3cba53b014c0974,rating-1
20e23ede08213eec3f8aab6770f61e74,rating-1
dd66a593263f15185f7e4ca7e317f979,rating-1
b30853808a526e427c08a6351db7ac37,rating-1
a0b898d466ba78c54668ca6f4883afe4,rating-1
9957cc1bdaa1370bf8acac5905aa6648,rating-1
21757a3db5ea75de00f57d6629e52b37,rating-1
3a901ace86fd4e17ca4dd7589dca4386,rating-1
4678b63595c8495493aa8eb9c8398a19,rating-1
4a7f950f9fec308a6bb060031625ef44,rating-1
725a270c70b4a23e873b0944937ecb9d,rating-1
766bb3a6a9dc30fef7db7b8f217401b0,rating-1
21167da581c06d0840e46682c19a7c60,rating-1
60a97eb0208e3138d72bdbeb54440450,rating-1
5a2efd7e88431186bff87b1346bacba3,rating-1
3f01ce7db094a392afd0469bce9e420c,rating-1
72a72b34ad137300e1316cd586532080,rating-1
7e3d94bca682e0bc7224c05b62065f21,rating-1
fa512c3601927fefdb366a8e08fd26ff,rating-1
f556af0e0a967ce619c037904283faaa,rating-1
5bb67a810f1f6bb25ccefc368e0a6255,rating-1
db011e8f5d6fd20b6c11eb32a2390464,rating-1
29f2f5fc7886398522a9f2ac637eb569,rating-1
1a7e92fba03022fee844f17f34830563,rating-1
86ce3ae8bbd0c861d142c074bab9bce5,rating-1
fed84963add60627c2613c6158d9b004,rating-1
a4caf039b6db334edbb53e3fd577791f,rating-1
60d6cc619397cb74364c9f3dcd49132d,rating-1
02312880e1e27f2474564666289fc05c,rating-1
291745edc347aa50fdc9995f3170d28b,rating-1
7f2eb2242ff3de06dc994ebaa4d7eed5,rating-1
bd7215e08bf34477e80f7eb3f17b40af,rating-1
7d94fe06c0a8157f201a87293c0f18ea,rating-1
b14031e6361611152eec6789d2bdec77,rating-1
554f14c5d02c93722e5f2c5a502b3319,rating-1
83c6d113ab825239fd0b5055645705a5,rating-1
6f0ae0802f195acf5528db0c4ad69260,rating-1
6c8ec8af584897efd6bb18de62cf9414,rating-1
57fb3c7f6ff2c63c40a3a80beabd2c35,rating-1
7fc29cc5b48ed0a4c5b96aeda4f7b696,rating-1
eb8e9a6916a2643607295ad4c8ffaf4f,rating-1
1713375f2ecab67cc5d7a789b426bff2,rating-1
9067ee07467955b65d493b0c71d129dc,rating-1
e8f872ec1039cd50ffe9e2eacb0f314b,rating-1
5eae44619e9ba671295383b409de2005,rating-1
67924bf2a0095370ee9b527661557994,rating-1
6945d66d9ef4366f1d53fe72281936e3,rating-1
743bcde4aeceddc9381575a942eb9e42,rating-1
099832dd13a167811d9e2f5d5ae4bb3e,rating-1
23787192a4f1aed46830b4eb5c8947d7,rating-1
e19709a30b27a4a671af0503c1d0dc2a,rating-1
7b848d3d41d01df9377bcc582184fffb,rating-1
e7730d8f703a1b92f6f1ac4011f73c03,rating-1
5b786fef3056d0f96ec15b014426eaf0,rating-1
6897410941a1da9ff06857b62855ecc9,rating-1
50fbcaa2bb46ea7c5c64e36ca6a31025,rating-1
7ed30e234bd602eadd29faa61e58994f,rating-1
a9bdd9cd799bfe933e3302cbdb89471c,rating-1
c778cfc31586b167aae8f4487dea9023,rating-1
4de9d085dd4ba04c3559af9d3396c7a1,rating-1
5b5e28ef05966c0e5e6e1cf9486a9656,rating-1
1f48450dc63fc8b546002f776d0143a5,rating-1
ca11b5fd1e85920045fb9679779e5f25,rating-1
182e6e982c234f411e851ddc5ad8b1cc,rating-1
7629898a87882d049314a04b60e87fba,rating-1
e8579c085eb9b063b96b2a56a83528d9,rating-1
8f53afcce9d18512033c509ae50cac61,rating-1
fca1af53ced608f13ab687c721ae0dd8,rating-1
251c0ddefbb30a9b9bb6865e4a155759,rating-1
7152b1a8059f61a7b5acc6ad2d88abc9,rating-1
d7860b39e9220b221ebc1f6bf60fbc3b,rating-1
4c2d94299f5f3c6e5c7d5c8e1b949e0f,rating-1
8c93268900c3dcd295094f6ad6258f0c,rating-1
a7cced14d6637956f6169bf261ff8acf,rating-1
9d8e459e7e7692978dd77e6ed4824811,rating-1
1f3f9de64811d67940296127e4367a05,rating-1
a7eaa74a3bbe36d7d0350ccc67beecb4,rating-1
05e0245cce83e37de6b3429c255270d0,rating-1
1b033e458a6c0e1b50ec663a15a52e24,rating-1
6a962fb9c62b5248c4755a424926b9b5,rating-1
1e65ad90fbf032c9cdb66cf09c9d60a4,rating-1
364d1ab81024db96edfa1aa27631cf6c,rating-1
2efb830b9e6d7970f9aae2dd51cd33b3,rating-1
8472080453b30a47eb343a1fabbdb66d,rating-1
49ce132146d31c07b17241a9f0536b67,rating-1
288bfeeca086266410578cec9196f1e3,rating-1
b8f694c5dbe9048c70fc4476af9b2513,rating-1
a7804f9ab8623f8082a3c8264fe5c960,rating-1
44ae832781dc60f40993ee687dbf77ba,rating-1
aa84a29798a26977cac1c4d8199b671e,rating-1
dfe6ef82502f367aacb1eaa80f9cc0fb,rating-1
b90c80ea80f58a57a6f5a4ec1edf0a4b,rating-1
9285b2640dc5ce16c09b3c0689ae4f65,rating-1
3ab040cea3e4afb69d2c768c5db05e88,rating-1
ec8b2740b15397c4a0643e3b04577d47,rating-1
e57c4c98f3c8d148c43a4e58c872cbb9,rating-1
8a00d825f9271f8aa3ee6602666678c4,rating-1
46658634bee61d6edfbc5417863b1a6f,rating-1
586d49029ed7c74d4528575e77bab7c9,rating-1
961eee7defc050d3d6e9bacb7c589634,rating-1
890709c6cac1321041c99fd91d2a1098,rating-1
3b3b2394abfeaac1d135b2ddd29db77d,rating-1
c47d496db210def0fc2fddc00d5823cf,rating-1
e612fca8983161bd1ce528efe959990a,rating-1
4e24caa9f79c8da476034fb549286a1e,rating-1
782441275bf0271bb04b718fe8665f1b,rating-1
9312b8fde14dcd8ecdeb300f5f52f841,rating-1
87a5fbc877565e3baa6a8301e5242ade,rating-1
84fd50950e9e8eb48f57bce55e05eeee,rating-1
e2cfd9aeafe0db23210f0c7206f42543,rating-1
4a0dd1d3cedc83d195883aceae00921f,rating-1
c618e63ede96a4121a7d7c018ed68bd8,rating-1
87456671790bba144fece224d94de88f,rating-1
704130ac29795bbcfc7c2ce309c2bc85,rating-1
0920cfa31139b366001e6b13e90433c7,rating-1
a8ccd749757b0ce798e2438e4e63861a,rating-1
2aea8b48eba099446173014d794d36dd,rating-1
219b2098cb345875373c72ac6d77fa37,rating-1
f065d29a00bbd87135374c3a7a714dfc,rating-1
1365c60f5fb20ec530c7429f43dd3753,rating-1
cd94dddd05033e0c0c3a46bc672090ed,rating-1
7b884aa5e6512fd4e280eae7f7925c2b,rating-1
bb6b3a80cbce38728bd9746a867b3b29,rating-1
b9aa280582df0ef85352ade2de5dc59f,rating-1
a5db59948133518d6697985d3c5d83d2,rating-1
2a9b0f5054c1b7fb329953fa6aa3b61c,rating-1
ddaab008e034958212daf79b897591c0,rating-1
9f186ba55f5e4fc58a4b1a70e284eecd,rating-1
2a403550ee614b5926e66a5d43beb856,rating-1
4ed955a4e86d91462e0f68e512cc0a48,rating-1
efa7121f2a1d3900c6988d4f3bb2cf28,rating-1
cde04e48a15ed84f69644140b68d58b7,rating-1
3e36064e29b753c4a8b6146277185912,rating-1
36624d067d5c138091bbe857f7b2f171,rating-1
54c7b871f0e007d73a537794502aa268,rating-1
f25b3bfaf0352382b989c8635fede5bf,rating-1
66c7877160a1ca45d83a0b29cfb04ceb,rating-1
88cd4a33d047ed1a640be29778370a7a,rating-1
410460a4afa22a2b0c3162582d717fdc,rating-1
345d9c1666746282f83af417ed46a73c,rating-1
2833a17fe4430bd667925ebb112b6d63,rating-1
e5ff8baad875a7635cac1f2093c00dff,rating-1
dc873fd2a4f542efa755e8820ec3b016,rating-1
6452e39e2368de2681a5a1ab98f6b8dc,rating-1
b79318631030545e967966869fd2cfb1,rating-1
287d05885ba68783cd95b4d9259728c8,rating-1
e5789c8921157c38f587599fa657960d,rating-1
0e9db996d69c944a81d4a2894228d3ab,rating-1
c5a3c135d72f90a1e264b1bd6f1d4f00,rating-1
668cdd8af87675cb7b9f7a48419c08f8,rating-1
2074a8922a323f7ebe08fe20a308ec8f,rating-1
e862feec9ae755346a035ba69ab2aa54,rating-1
22f56b5e05c4db38596129e31f4c0b45,rating-1
5730a906beb7cada8130dfcce5278b1a,rating-1
86c05d90c535b583b4b4732e7957f4be,rating-1
d4eb5e09e1d8f27990a02aa5ee89eba4,rating-1
2e942a6bfb153580d27bbbed3821bf9c,rating-1
1c871ee20d2663d37c7a9e33662075f6,rating-1
8d045827d02f6e1fb7cfcfcd194d202d,rating-1
aa323743be582587b4cd54f358ce1d7a,rating-1
4ea064978872d02ae9f23aaa28c16caa,rating-1
a669fa036aa7c4f14ebf4de61242aa36,rating-1
48697c0e1f4ff781b15fb90fdcfeb719,rating-1
1b072cb44629af1a4b4f5dd8db0bf2a5,rating-1
751597c3f522a099a5980baef7ecd136,rating-1
28c456186b0537256125ea99bba1d5e0,rating-1
73a7d5df4a88c87bb97b3f9077ddeecd,rating-1
d669412effe3502db06830f3b77dc691,rating-1
eb9d9c16d9776f272588d5143ffac173,rating-1
19201149de6b064eb24dcc325f5c06a8,rating-1
0f1946d41a577f3a69544fe0cb5fa7b6,rating-1
a5efe5b9c01e6264954301ca80a31174,rating-1
d03280fbb5487c89ead9aface9789aad,rating-1
20851d2b2615e8a6b2bbf6bdb6c82834,rating-1
0966d3cb8b6c9a647f58cc3d8d4d4669,rating-1
a8c1d17d00255c350e8f6afb14e63bc4,rating-1
73d9147979d6cc18c86d2b73d4c6645f,rating-1
03aab0df61c5093ac40070137271320f,rating-1
6023911884b9e0591c693aaa46a700fe,rating-1
71d70ff3d5a6783a0eebba870a32db41,rating-1
de399997557dab29353d2c30c518a7cb,rating-1
d27174aa43ae72b4f3fe2d3fdef051a9,rating-1
727af45b1204f142cde65b7e2705253c,rating-1
2021e8e51f835e7f5f877b0ffeb61a61,rating-1
af38a8d829d8187e832071be9a471161,rating-1
fd11512604acc15bc16fc8277f609a87,rating-1
a56e0b2afdde420d1b7f9c04c426eb49,rating-1
7076ad68ae3ebb905cb6cc5756698c60,rating-1
8de7cd5cb4c7ce73acbb01763dd8afed,rating-1
82b37bb6c701d13a24daa90a34a0dd8d,rating-1
41224cf91c2a58c720c29c9926fb5b84,rating-1
ef156d24229cbcb14eb116a228465552,rating-1
3f80e00f5a1d9c89d0ff70b6c11344ea,rating-1
c3650b93b4f3e18136e0dc3520141672,rating-1
6015a04dd41f39104175f77b3504da97,rating-1
0a93b9f77c02c31137945a1768cb5923,rating-1
a99a7256f52fbfb3106b8e6914d4a0ef,rating-1
658f41ea262d4504b6fc928992f6a031,rating-1
d88239a3713692e0972a312eec08d657,rating-1
79379502e647839a1ac26af3eae07988,rating-1
bbded76af4b4695b83de57a39f11621d,rating-1
2add760094980c1f9da60efb87376765,rating-1
c008b5b33cf88df4a17cf77c7ab498c7,rating-1
a48b906c4cd43fd2cac92c16ba55eb95,rating-1
ad7cc90510f47358b8a05c82b599db36,rating-1
c85f94df2edfbb3939f4cc069263631c,rating-1
8fa62ed8cf629eb5fed601f7cec5680a,rating-1
13520406bce47ef1b0055fcc80e84dde,rating-1
29e70c47d2117a027f62310f9950aa4b,rating-1
a6a6c0699bc722b24964ed4d4bc10e8e,rating-1
16a8391b137cd30edd2a5a2608c98e7f,rating-1
874bcfd66e3bd0790cc05f7dc20ca628,rating-1
6c7449d4f4344ba2c49f023db4db1d99,rating-1
3044dde480fa479ba83070a2e19cb9ec,rating-1
6df6068f5c865363bb2b2fb6efda75fe,rating-1
21edcd2d88e3edfcc417ff331a461df1,rating-1
90332529efe6cc3f4d24cc7a5f3091a4,rating-1
